20230320	漏洞分析	https://www.52pojie.cn/thread-1757035-1-1.html	《吾爱破解精华集 2022》自解压包源代码	52pojie.cn	www.52pojie.cn	/thread-1757035-1-1.html
20230327	Web安全	https://mp.weixin.qq.com/s/8Ul3SLIlyhHVF7R6ekciBw	rakshasa-跨平台、稳定、隐秘的多级代理内网穿透工具	qq.com	mp.weixin.qq.com	/s/8Ul3SLIlyhHVF7R6ekciBw
20230327	Web安全	https://mp.weixin.qq.com/s/fM5qAnQxWXLfAofgVqcWvw	浅谈基于深度学习的漏洞检测	qq.com	mp.weixin.qq.com	/s/fM5qAnQxWXLfAofgVqcWvw
20230327	其它	https://mp.weixin.qq.com/s/e6W2Uy64i9cY7U7-3FnoxQ	以 AI 速度赋能防御	qq.com	mp.weixin.qq.com	/s/e6W2Uy64i9cY7U7-3FnoxQ
20230327	Web安全	https://mp.weixin.qq.com/s/vUgHj6jkIGuXX4X66NutnQ	Java执行命令过程即命令拼接问题	qq.com	mp.weixin.qq.com	/s/vUgHj6jkIGuXX4X66NutnQ
20230327	恶意分析	https://mp.weixin.qq.com/s/OA823YMj6AxD_ahrQksOfQ	供应链攻击之PHP Composer漏洞	qq.com	mp.weixin.qq.com	/s/OA823YMj6AxD_ahrQksOfQ
20230327	Web安全	https://github.com/splunk/attack_range	attack_range: Splunk Attack Range	github.com	github.com	/splunk/attack_range
20230327	漏洞分析	https://mp.weixin.qq.com/s/07-8djbE7bnNsHCsFdEWaA	源代码与二进制漏洞的融合	qq.com	mp.weixin.qq.com	/s/07-8djbE7bnNsHCsFdEWaA
20230327	Web安全	https://github.com/StarCrossPortal/swallow	Swallow-开源代码审计系统	github.com	github.com	/StarCrossPortal/swallow
20230327	数据挖掘	https://mp.weixin.qq.com/s/lyHukb_LK0MASwhJT4baow	AI驱动的微软安全防护	qq.com	mp.weixin.qq.com	/s/lyHukb_LK0MASwhJT4baow
20230327	Web安全	https://mp.weixin.qq.com/s/qbiTp3Et4yik0bAYrYCgMg	[HTB] Paper Writeup	qq.com	mp.weixin.qq.com	/s/qbiTp3Et4yik0bAYrYCgMg
20230327	运维安全	https://mp.weixin.qq.com/s/J8nQRKXBMDBQqTl2InO9pg	基于等级保护思路的应用软件开发安全关键要素探讨	qq.com	mp.weixin.qq.com	/s/J8nQRKXBMDBQqTl2InO9pg
20230327	取证分析	https://mp.weixin.qq.com/s/83q9laF1LHWoSTdkwj3tnA	使用 GWLB 和 FortiGate 作为流量镜像的替代方案	qq.com	mp.weixin.qq.com	/s/83q9laF1LHWoSTdkwj3tnA
20230327	Web安全	https://mp.weixin.qq.com/s/WPnNpY6Tl-U58vsDGWQvBw	[HTB] GoodGames Writeup	qq.com	mp.weixin.qq.com	/s/WPnNpY6Tl-U58vsDGWQvBw
20230327	恶意分析	https://mp.weixin.qq.com/s/Nf4nScuV5sUODgk4Fb3EwA	软件供应链后门投毒自动化发现能力建设	qq.com	mp.weixin.qq.com	/s/Nf4nScuV5sUODgk4Fb3EwA
20230327	其它	https://mp.weixin.qq.com/s/CS2FUz62CBwcSKWqPAQdaQ	《欧洲网络安全技能框架》解读	qq.com	mp.weixin.qq.com	/s/CS2FUz62CBwcSKWqPAQdaQ
20230327	杂志	https://www.sec-wiki.com/weekly/473	SecWiki周刊（第473期)	sec-wiki.com	www.sec-wiki.com	/weekly/473
20230327	取证分析	https://mp.weixin.qq.com/s/8qJGsK95xkR6nIEMCjbtng	美国升级爱因斯坦系统，切换国家网络防御系统后端大脑	qq.com	mp.weixin.qq.com	/s/8qJGsK95xkR6nIEMCjbtng
20230327	其它	https://mp.weixin.qq.com/s/MOODFHGrf_aeXs5G3FzavQ	英国防部发布云战略路线图： 构建数字骨干 助力数字转型	qq.com	mp.weixin.qq.com	/s/MOODFHGrf_aeXs5G3FzavQ
20230327	恶意分析	https://mp.weixin.qq.com/s/xk8VFdgRfkcKCnP4xi5qmQ	供应链安全实践：基于风险的“供应链攻击面”梳理和分析	qq.com	mp.weixin.qq.com	/s/xk8VFdgRfkcKCnP4xi5qmQ
20230327	编程技术	https://github.com/Qihoo360/safe-rules	safe-rules: 详细的C/C++编程规范指南	github.com	github.com	/Qihoo360/safe-rules
20230327	设备安全	https://www.anquanke.com/post/id/288053	使用FirmAE 对zyxel路由器固件仿真实践	anquanke.com	www.anquanke.com	/post/id/288053
20230327	无线安全	https://mp.weixin.qq.com/s/aB4-UhiyQEpqp6HRtgSzKg	解密Starlink骨干网和M形POP拓扑	qq.com	mp.weixin.qq.com	/s/aB4-UhiyQEpqp6HRtgSzKg
20230327	漏洞分析	https://mp.weixin.qq.com/s/NcTHJFSF6w6R7XO-ejtzzA	利用静态提取的代码特征对过拟合补丁进行自动分类	qq.com	mp.weixin.qq.com	/s/NcTHJFSF6w6R7XO-ejtzzA
20230327	视频	https://wx.vzan.com/live/page/1551654502	第十六届中国网络空间安全学科专业建设与人才培养研讨会视频回放	vzan.com	wx.vzan.com	/live/page/1551654502
20230327	观点	https://mp.weixin.qq.com/s/Arh4u6xHqjP0utSPE3dd-A	内容算法服务中正能量内容源识别和流量分发机制不足的初步思考	qq.com	mp.weixin.qq.com	/s/Arh4u6xHqjP0utSPE3dd-A
20230327	漏洞分析	https://mp.weixin.qq.com/s/AB3LiDutpMQm9C1eumy9IQ	parse-server 从原型污染到 RCE 漏洞(CVE-2022-39396) 分析	qq.com	mp.weixin.qq.com	/s/AB3LiDutpMQm9C1eumy9IQ
20230327	数据挖掘	http://www.qianzhankeji.cn/CN/10.3981/j.issn.2097-0781.2023.01.010	NSFC形式化方法领域基金项目申请资助情况分析	qianzhankeji.cn	www.qianzhankeji.cn	/CN/10.3981/j.issn.2097-0781.2023.01.010
